丰台-刘家窑 / 46㎡ /东 / 1室1厅1卫 / 4300
海淀-五道口 / 41㎡ /西 / 1室0厅1卫 / 7800
丰台-北京南站 / 30㎡ /西 / 1室0厅1卫 / 4000
朝阳-南沙滩 / 46㎡ /西南 / 2室1厅1卫 / 6500
大兴-黄村中 / 69㎡ /西 / 1室1厅1卫 / 3800
朝阳-甜水园 / 70㎡ /南 / 2室1厅1卫 / 7200
朝阳-石佛营 / 57㎡ /西北 / 2室1厅1卫 / 6700
海淀-清河 / 55㎡ /东 西 / 2室1厅1卫 / 6000
东城-东四 / 42㎡ /东 西 / 1室1厅1卫 / 6600
朝阳-潘家园 / 52㎡ /西 / 1室1厅1卫 / 5500
西城-官园 / 167㎡ /西南 东北 / 4室2厅2卫 / 24000
朝阳-国展 / 43㎡ /南 / 1室1厅1卫 / 5500
丰台-方庄 / 66㎡ /东南 / 2室1厅1卫 / 7500
东城-建国门内 / 41㎡ /南 / 1室0厅1卫 / 6800 
朝阳-工体 / 48㎡ /南 / 1室1厅1卫 / 7500 
朝阳-双井 / 62㎡ /北 / 1室1厅1卫 / 9000 
朝阳-甜水园 / 53㎡ /南 北 / 2室1厅1卫 / 6000 
西城-木樨地 / 68㎡ /西南 北 / 2室1厅1卫 / 8800 
朝阳-亚运村 / 36㎡ /东 / 1室0厅1卫 / 6200 
朝阳-安贞 / 45㎡ /南 北 / 1室1厅1卫 / 6000 
海淀-甘家口 / 54㎡ /南 北 / 1室1厅1卫 / 6600 
西城-宣武门 / 50㎡ /北 / 1室0厅1卫 / 6700 
朝阳-太阳宫 / 32㎡ /东 / 1室0厅1卫 / 7000 
朝阳-安贞 / 44㎡ /东 西 / 1室1厅1卫 / 6300 
海淀-公主坟 / 43㎡ /南 / 1室1厅1卫 / 5500 
朝阳-朝阳公园 / 196㎡ /南 北 / 3室1厅2卫 / 40000 
海淀-牡丹园 / 58㎡ /东 / 1室1厅1卫 / 7800 
通州-通州北苑 / 44㎡ /北 / 1室0厅1卫 / 3800 
朝阳-大望路 / 38㎡ /北 / 1室0厅1卫 / 5600 
海淀-学院路 / 67㎡ /南 西 / 2室1厅1卫 / 6700 
西城-金融街 / 69㎡ /西北 / 2室1厅1卫 / 11000 
通州-新华大街 / 51㎡ /东 / 1室0厅1卫 / 3500 
石景山-鲁谷 / 135㎡ /南 北 / 3室1厅2卫 / 13000 
海淀-五道口 / 63㎡ /南 北 / 2室1厅1卫 / 7000 
丰台-蒲黄榆 / 54㎡ /东 西 / 2室1厅1卫 / 6000 
顺义-顺义城 / 67㎡ /南 北 / 1室1厅1卫 / 3500 
西城-广安门 / 24㎡ /南 / 1室0厅1卫 / 3500 
海淀-学院路 / 53㎡ /南 北 / 2室1厅1卫 / 7400 
丰台-玉泉营 / 52㎡ /东 / 1室0厅1卫 / 5700 
东城-广渠门 / 71㎡ /东 / 1室1厅1卫 / 8000 
西城-陶然亭 / 158㎡ /东 东南 西 / 2室1厅1卫 / 21000 
朝阳-酒仙桥 / 56㎡ /南 北 / 2室1厅1卫 / 6300 
海淀-甘家口 / 45㎡ /南 北 / 2室1厅1卫 / 7800
东城-安贞 / 43㎡ /东 / 1室1厅1卫 / 5700 
朝阳-芍药居 / 42㎡ /东 / 1室0厅1卫 / 6400 
大兴-枣园 / 83㎡ /南 北 / 2室1厅1卫 / 4200 
海淀-北太平庄 / 63㎡ /东 / 1室1厅1卫 / 7500 
朝阳-劲松 / 73㎡ /东 / 2室1厅1卫 / 5500 
朝阳-朝阳门外 / 47㎡ /南 / 1室1厅1卫 / 6700 
丰台-看丹桥 / 60㎡ /南 北 / 2室1厅1卫 / 4000 
朝阳-百子湾 / 48㎡ /东 / 1室0厅1卫 / 5700 
朝阳-农展馆 / 45㎡ /西南 / 1室1厅1卫 / 6000 
丰台-太平桥 / 42㎡ /南 北 / 1室1厅1卫 / 4500 
丰台-方庄 / 72㎡ /西南 / 2室1厅1卫 / 7000 
西城-马连道 / 36㎡ /南 / 1室1厅1卫 / 5200 
丰台-角门 / 46㎡ /南 / 1室0厅1卫 / 5500 
海淀-双榆树 / 44㎡ /南 / 1室1厅1卫 / 7000 
朝阳-常营 / 71㎡ /西南 / 2室1厅1卫 / 6000 
东城-和平里 / 56㎡ /北 / 1室0厅1卫 / 7100 
丰台-马家堡 / 55㎡ /东 南 西 / 2室1厅1卫 / 5600 
朝阳-双桥 / 148㎡ /南 / 3室2厅2卫 / 9700 
东城-东直门 / 61㎡ /东 西 / 2室1厅1卫 / 7300 
朝阳-潘家园 / 60㎡ /东 / 2室1厅1卫 / 5500 
海淀-苏州桥 / 60㎡ /北 / 2室0厅1卫 / 9500 
海淀-甘家口 / 40㎡ /西 / 1室1厅1卫 / 6000 
西城-月坛 / 39㎡ /南 / 1室1厅1卫 / 6500 
海淀-知春路 / 54㎡ /东南 / 2室1厅1卫 / 8500 
丰台-马家堡 / 55㎡ /南 北 / 2室1厅1卫 / 5500 
昌平-回龙观 / 58㎡ /北 / 1室0厅1卫 / 5000 
朝阳-劲松 / 55㎡ /南 北 / 2室1厅1卫 / 6100 
西城-月坛 / 39㎡ /东 / 2室1厅1卫 / 8500 
西城-天宁寺 / 58㎡ /东 西 / 3室1厅1卫 / 7500 
亦庄开发区-亦庄 / 33㎡ /北 / 1室1厅1卫 / 4700
